TimeStamp,turbine_power1,turbine_power10,ws
2020-11-25 18:50:00,1773.27,1177.79,7.56
2020-11-25 19:00:00,1640.83,1207.45,7.61
2020-11-25 19:10:00,1834.58,1078.64,7.74
2020-11-25 19:20:00,1416.0,1266.63,7.66
2020-11-25 19:30:00,1000.36,954.55,7.15
2020-11-25 19:40:00,658.84,749.33,6.42
2020-11-25 19:50:00,657.48,702.7,6.17
2020-11-25 20:00:00,729.44,717.33,6.22
2020-11-25 20:10:00,879.27,898.91,6.67
2020-11-25 20:20:00,876.65,1143.34,7.12
2020-11-25 20:30:00,678.46,921.42,6.71
2020-11-25 20:40:00,695.66,920.29,6.69
2020-11-25 20:50:00,562.22,925.21,6.51
2020-11-25 21:00:00,533.3,771.12,6.22
2020-11-25 21:10:00,534.54,532.02,6.15
2020-11-25 21:20:00,673.75,551.42,6.26
2020-11-25 21:30:00,571.73,486.45,6.24
2020-11-25 21:40:00,512.81,380.55,6.3
2020-11-25 21:50:00,449.22,459.13,6.23
2020-11-25 22:00:00,649.91,576.82,6.38
2020-11-25 22:10:00,538.29,579.89,6.39
2020-11-25 22:20:00,695.24,827.16,6.54
2020-11-25 22:30:00,887.66,700.23,6.69
2020-11-25 22:40:00,786.84,571.15,6.41
2020-11-25 22:50:00,475.33,641.3,6.35
2020-11-25 23:00:00,775.63,659.74,6.41
2020-11-25 23:10:00,689.61,525.54,6.05
2020-11-25 23:20:00,448.26,602.27,5.92
2020-11-25 23:30:00,311.99,180.98,5.55
2020-11-25 23:40:00,281.49,494.18,5.77
2020-11-25 23:50:00,502.28,580.86,6.03
2020-11-26 00:00:00,483.06,433.0,6.21
2020-11-26 00:10:00,283.61,699.95,6.26
2020-11-26 00:20:00,249.77,472.89,6.12
2020-11-26 00:30:00,482.32,339.12,6.18
2020-11-26 00:40:00,664.0,222.44,6.0
2020-11-26 00:50:00,737.0,-24.4,5.89
2020-11-26 01:00:00,784.83,166.89,6.21
2020-11-26 01:10:00,769.25,497.03,6.24
2020-11-26 01:20:00,425.52,114.92,5.38
2020-11-26 01:30:00,489.56,218.54,5.2
2020-11-26 01:40:00,458.45,263.41,5.21
2020-11-26 01:50:00,800.8,208.98,5.29
2020-11-26 02:00:00,819.31,325.15,5.57
2020-11-26 02:10:00,556.3,273.26,5.5
2020-11-26 02:20:00,566.74,204.22,5.48
2020-11-26 02:30:00,540.63,191.06,5.51
2020-11-26 02:40:00,486.48,165.24,5.45
2020-11-26 02:50:00,382.71,271.42,5.32
2020-11-26 03:00:00,481.06,408.48,5.71
2020-11-26 03:10:00,653.61,528.25,5.59
2020-11-26 03:20:00,675.02,439.88,5.43
2020-11-26 03:30:00,984.59,380.34,5.53
2020-11-26 03:40:00,859.72,375.46,5.4
2020-11-26 03:50:00,1279.37,445.23,5.68
2020-11-26 04:00:00,1730.54,748.8,6.63
2020-11-26 04:10:00,1798.68,446.2,6.62
2020-11-26 04:20:00,1610.7,598.65,6.76
2020-11-26 04:30:00,1156.6,724.32,6.71
2020-11-26 04:40:00,863.01,744.71,6.22
2020-11-26 04:50:00,1432.79,526.21,6.81
2020-11-26 05:00:00,1308.12,517.74,6.68
2020-11-26 05:10:00,864.98,692.85,6.11
2020-11-26 05:20:00,1548.07,471.58,6.59
2020-11-26 05:30:00,1549.04,558.06,6.64
2020-11-26 05:40:00,914.99,758.39,5.89
2020-11-26 05:50:00,1003.43,699.64,6.12
2020-11-26 06:00:00,999.04,594.05,6.13
2020-11-26 06:10:00,698.64,597.33,6.13
2020-11-26 06:20:00,1044.13,579.7,6.28
2020-11-26 06:30:00,821.01,785.59,6.73
2020-11-26 06:40:00,642.13,682.53,6.13
2020-11-26 06:50:00,791.51,634.1,6.13
2020-11-26 07:00:00,953.57,515.18,6.13
2020-11-26 07:10:00,1093.71,436.47,6.11
2020-11-26 07:20:00,1358.31,393.29,6.02
2020-11-26 07:30:00,1833.12,548.19,6.51
2020-11-26 07:40:00,1812.06,632.67,6.65
2020-11-26 07:50:00,1661.65,624.18,6.51
2020-11-26 08:00:00,1503.13,636.54,6.41
2020-11-26 08:10:00,1571.17,709.03,6.38
2020-11-26 08:20:00,1098.71,712.02,6.12
2020-11-26 08:30:00,766.24,638.49,5.88
2020-11-26 08:40:00,655.7,670.47,5.98
2020-11-26 08:50:00,624.38,439.02,5.73
2020-11-26 09:00:00,515.17,383.28,5.46
2020-11-26 09:10:00,563.0,511.33,5.76
2020-11-26 09:20:00,564.16,525.51,5.61
2020-11-26 09:30:00,535.14,563.51,5.87
2020-11-26 09:40:00,640.49,455.91,5.88
